Identificador_Identifier;Tipo_Type;Latitud_Latitude;Longitud_Longitude;ExactitudHorizontal_HorzAccuracy;NivelConfHoriz_HorzConfLevel;ResolucionHoriz_HorzResolution;SistRefHorizontal_HorzRefSyst;Elevacion_Elevation;ExactitudVertical_VertAccuracy;NivelConfVertical_VertConfLevel;ResolucionVert_VertResolution;SistRefVertical_VertRefSyst;Altura_Height;UnidadMedida_UOM;IdOriginador_OriginatorId;IdFuente_SourceId;TipoMedicion_MeasurementType;FechaMedicion_MeasurementDate;Señalizado_Marking;Iluminado_Lighting;Frangible_Frangibility;TipoGeometria_GeometryType;Integridad_Integrity;NotaIntegridad_IntegrityRemark;AMDT;PUB;WEF
LEPA-OBS-02201-001-2015;Señal/Sign;393304.0613N;0024328.0404E;0.009;95;0.001;WGE;3.681;0.017;95;0.001;MSL;0.77;m;AENA S.A.;CONSULTOP;GPS;20151126;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03027-008-2015;Sistema Iluminación/Electrical Exit Light;393321.1923N;0024539.6648E;0.012;95;0.001;WGE;2.731;0.016;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02131-004-2015;Valla/Fence;393238.4532N;0024246.0052E;0.009;95;0.001;WGE;4.71;0.017;95;0.001;MSL;0.81;m;AENA S.A.;CONSULTOP;GPS;20151122;Si/Yes;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02050-022-2015;Obstáculo Móvil/Mobile Obstacle;393316.4219N;0024321.5071E;0.008;95;0.001;WGE;8.593;0.014;95;0.001;MSL;4.8;m;AENA S.A.;CONSULTOP;GPS;20151121;No;No;No;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02998-011-2015;Sistema Iluminación/Electrical Exit Light;393341.3600N;0024442.5903E;0.003;95;0.001;WGE;2.584;0.012;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03014-007-2015;Sistema Iluminación/Electrical Exit Light;393231.3761N;0024353.3396E;0.009;95;0.001;WGE;7.876;0.011;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02052-001-2015;Obstáculo Móvil/Mobile Obstacle;393241.4857N;0024224.3220E;0.009;95;0.001;WGE;14.754;0.014;95;0.001;MSL;4.8;m;AENA S.A.;CONSULTOP;GPS;20151122;No;No;No;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03008-001-2015;Sistema Iluminación/Electrical Exit Light;393238.3490N;0024353.5448E;0.015;95;0.001;WGE;6.746;0.016;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02781-001-2015;Edificio/Building;393321.4803N;0024845.2315E;0.2;95;0.001;WGE;102.93;0.2;95;0.001;MSL;7.08;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151129;No;No;No;Superficial/Polygon;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03020-013-2015;Sistema Iluminación/Electrical Exit Light;393254.8084N;0024446.8914E;0.009;95;0.001;WGE;5.63;0.02;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-00963-001-2015;Poste-Mástil/Pole;393321.4154N;0024329.6248E;0.5;95;0.001;WGE;12.334;0.1;95;0.001;MSL;6;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151203;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02168-001-2015;Sistema Eléctrico/Electrical System;393249.2512N;0024308.7911E;0.011;95;0.001;WGE;4.717;0.017;95;0.001;MSL;0.84;m;AENA S.A.;CONSULTOP;GPS;20151122;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03544-001-2015;Árbol/Tree;393113.9081N;0024736.4939E;0.5;95;0.001;WGE;96.969;0.25;95;0.001;MSL;10.339;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151202;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-01489-004-2015;Sistema Iluminación/Electrical Exit Light;393228.7917N;0024321.9198E;0.2;95;0.001;WGE;12.347;0.2;95;0.001;MSL;9.517;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151130;No;No;No;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02957-001-2015;Sistema Iluminación/Electrical Exit Light;393251.1323N;0024302.3754E;0.009;95;0.001;WGE;4.004;0.02;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02007-001-2015;Sistema Iluminación/Electrical Exit Light;393321.5132N;0024539.1075E;0.008;95;0.001;WGE;2.819;0.015;95;0.001;MSL;0.66;m;AENA S.A.;CONSULTOP;GPS;20151119;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03019-011-2015;Sistema Iluminación/Electrical Exit Light;393252.5586N;0024441.8925E;0.009;95;0.001;WGE;5.943;0.022;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03803-001-2015;Vegetación/Vegetation;393636.7719N;0024513.5348E;0.2;95;0.001;WGE;130.13;0.2;95;0.001;MSL;17.998;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20131220;No;No;No;Superficial/Polygon;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-01761-001-2015;Sistema de Vigilancia/Control Monitoring System;393418.8493N;0024915.8777E;0.1;95;0.001;WGE;122.115;0.1;95;0.001;MSL;13.5;m;AENA S.A.;CONSULTOP;Intersección/Intersection;20151203;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02941-001-2015;Árbol/Tree;393234.3314N;0024223.1660E;0.2;95;0.001;WGE;18.101;0.2;95;0.001;MSL;11.841;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151201;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02998-005-2015;Sistema Iluminación/Electrical Exit Light;393344.4283N;0024439.9494E;0.01;95;0.001;WGE;2.731;0.019;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-01939-001-2015;Chimenea/Chimney;393403.4518N;0024124.5540E;0.5;95;0.001;WGE;60.751;0.1;95;0.001;MSL;51.451;m;AENA S.A.;CONSULTOP;Intersección/Intersection;20151203;No;Si/Yes;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02973-003-2015;Sistema Iluminación/Electrical Exit Light;393319.9167N;0024407.0520E;0.006;95;0.001;WGE;3.395;0.017;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-01710-002-2015;Antena/Antenna;393208.2736N;0024315.6607E;0.2;95;0.001;WGE;40.342;0.2;95;0.001;MSL;37.392;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151130;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02432-001-2015;Árbol/Tree;393239.3144N;0024849.2609E;0.2;95;0.001;WGE;137.801;0.2;95;0.001;MSL;5.921;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151120;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02805-001-2015;Árbol/Tree;393219.7320N;0024722.7662E;0.2;95;0.001;WGE;91.26;0.2;95;0.001;MSL;18.29;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151129;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02020-050-2015;Obstáculo Móvil/Mobile Obstacle;393314.3554N;0024545.2432E;0.011;95;0.001;WGE;7.298;0.015;95;0.001;MSL;4.8;m;AENA S.A.;CONSULTOP;GPS;20151120;No;No;No;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02050-026-2015;Obstáculo Móvil/Mobile Obstacle;393308.9143N;0024305.4708E;0.011;95;0.001;WGE;7.618;0.014;95;0.001;MSL;4.8;m;AENA S.A.;CONSULTOP;GPS;20151121;No;No;No;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02020-028-2015;Obstáculo Móvil/Mobile Obstacle;393240.8404N;0024433.2378E;0.006;95;0.001;WGE;14.951;0.015;95;0.001;MSL;4.8;m;AENA S.A.;CONSULTOP;GPS;20151120;No;No;No;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03025-009-2015;Sistema Iluminación/Electrical Exit Light;393325.4724N;0024540.1291E;0.019;95;0.001;WGE;2.717;0.013;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03011-002-2015;Sistema Iluminación/Electrical Exit Light;393231.6659N;0024347.3311E;0.007;95;0.001;WGE;7.731;0.013;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02977-002-2015;Sistema Iluminación/Electrical Exit Light;393257.3858N;0024424.6285E;0.013;95;0.001;WGE;8.147;0.017;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03008-002-2015;Sistema Iluminación/Electrical Exit Light;393238.4404N;0024354.0883E;0.013;95;0.001;WGE;6.857;0.015;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03011-001-2015;Sistema Iluminación/Electrical Exit Light;393231.8931N;0024347.2042E;0.011;95;0.001;WGE;7.731;0.015;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-01519-001-2015;Señal/Sign;393244.9016N;0024409.4778E;0.007;95;0.001;WGE;8.395;0.012;95;0.001;MSL;0.85;m;AENA S.A.;CONSULTOP;GPS;20151119;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-01229-001-2015;Antena/Antenna;393257.1867N;0024428.7792E;0.2;95;0.001;WGE;17.846;0.2;95;0.001;MSL;8.827;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151124;Si/Yes;Si/Yes;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02953-003-2015;Sistema Iluminación/Electrical Exit Light;393247.0465N;0024252.1906E;0.008;95;0.001;WGE;4.101;0.013;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03022-019-2015;Sistema Iluminación/Electrical Exit Light;393250.1309N;0024424.8513E;0.011;95;0.001;WGE;8.698;0.019;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-01418-002-2015;Sistema Iluminación/Electrical Exit Light;393230.3314N;0024407.2453E;0.01;95;0.001;WGE;9.519;0.017;95;0.001;MSL;3.048;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;Si/Yes;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02966-004-2015;Sistema Iluminación/Electrical Exit Light;393304.5685N;0024328.0129E;0.001;95;0.001;WGE;4.045;0.014;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02956-003-2015;Sistema Iluminación/Electrical Exit Light;393247.5158N;0024254.7520E;0.01;95;0.001;WGE;3.981;0.013;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-01650-008-2015;Tendido Eléctrico/Transmission Line;393550.8032N;0024617.2882E;0.5;95;0.001;WGE;157.115;0.1;95;0.001;MSL;31.2;m;AENA S.A.;CONSULTOP;Intersección/Intersection;20151203;Si/Yes;No;No;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02493-001-2015;Vegetación/Vegetation;393250.4106N;0024220.6335E;0.2;95;0.001;WGE;18.274;0.2;95;0.001;MSL;11.144;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151122;No;No;No;Superficial/Polygon;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02120-001-2015;Señal/Sign;393240.2719N;0024240.6442E;0.007;95;0.001;WGE;5.557;0.013;95;0.001;MSL;2.686;m;AENA S.A.;CONSULTOP;GPS;20151122;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02262-001-2015;Señal/Sign;393233.4040N;0024344.2527E;0.011;95;0.001;WGE;6.777;0.017;95;0.001;MSL;0.77;m;AENA S.A.;CONSULTOP;GPS;20151119;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-01388-004-2015;Valla/Fence;393235.3180N;0024424.3463E;0.2;95;0.001;WGE;17.655;0.2;95;0.001;MSL;13.195;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151124;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-01866-001-2015;Vegetación/Vegetation;393713.8620N;0024955.2923E;0.2;95;0.001;WGE;240.897;0.2;95;0.001;MSL;4.127;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151128;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02993-004-2015;Sistema Iluminación/Electrical Exit Light;393334.2694N;0024417.8438E;0.008;95;0.001;WGE;3.117;0.016;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02020-062-2015;Obstáculo Móvil/Mobile Obstacle;393327.7345N;0024544.7499E;0.006;95;0.001;WGE;7.497;0.01;95;0.001;MSL;4.8;m;AENA S.A.;CONSULTOP;GPS;20151119;No;No;No;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03218-001-2015;Vegetación/Vegetation;393235.1822N;0024227.3617E;0.5;95;0.001;WGE;22.513;0.25;95;0.001;MSL;17.843;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151203;No;No;No;Superficial/Polygon;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-01173-001-2015;Edificio/Building;393308.4518N;0024358.7500E;0.2;95;0.001;WGE;12.237;0.2;95;0.001;MSL;8.687;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151125;No;No;No;Superficial/Polygon;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02502-001-2015;Árbol/Tree;393244.3406N;0024209.1318E;0.2;95;0.001;WGE;21.47;0.2;95;0.001;MSL;11.79;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151122;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-00545-001-2015;Señal/Sign;393315.4216N;0024343.0995E;0.007;95;0.001;WGE;3.976;0.011;95;0.001;MSL;1.05;m;AENA S.A.;CONSULTOP;GPS;20151126;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03012-008-2015;Sistema Iluminación/Electrical Exit Light;393230.1700N;0024350.4115E;0.01;95;0.001;WGE;7.96;0.017;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03021-005-2015;Sistema Iluminación/Electrical Exit Light;393234.8110N;0024350.5291E;0.011;95;0.001;WGE;7.481;0.014;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02388-001-2015;Edificio/Building;393305.4018N;0024350.9240E;0.012;95;0.001;WGE;5.148;0.02;95;0.001;MSL;2.229;m;AENA S.A.;CONSULTOP;GPS;20151201;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02980-002-2015;Sistema Iluminación/Electrical Exit Light;393306.9075N;0024416.2261E;0.009;95;0.001;WGE;6.896;0.017;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03025-007-2015;Sistema Iluminación/Electrical Exit Light;393325.7577N;0024539.0846E;0.015;95;0.001;WGE;2.766;0.014;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-00912-001-2015;Señal/Sign;393304.9752N;0024417.5041E;0.007;95;0.001;WGE;7.103;0.011;95;0.001;MSL;0.764;m;AENA S.A.;CONSULTOP;GPS;20151123;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02997-008-2015;Sistema Iluminación/Electrical Exit Light;393342.4362N;0024441.1194E;0.018;95;0.001;WGE;2.494;0.013;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02234-001-2015;Señal/Sign;393246.9681N;0024415.3088E;0.005;95;0.001;WGE;8.949;0.009;95;0.001;MSL;0.85;m;AENA S.A.;CONSULTOP;GPS;20151119;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03535-001-2015;Tendido Eléctrico/Transmission Line;393112.9452N;0024732.3254E;0.5;95;0.001;WGE;92.776;0.25;95;0.001;MSL;10.666;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151202;No;No;No;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03553-001-2015;Árbol/Tree;393248.9335N;0024800.2559E;0.5;95;0.001;WGE;97.485;0.25;95;0.001;MSL;8.675;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151202;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-01367-007-2015;Valla/Fence;393243.5125N;0024439.9522E;0.1;95;0.001;WGE;15.8;0.1;95;0.001;MSL;2.85;m;AENA S.A.;CONSULTOP;GPS;20151203;No;Si/Yes;No;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02976-022-2015;Sistema Iluminación/Electrical Exit Light;393306.3497N;0024419.1740E;0.012;95;0.001;WGE;6.972;0.011;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02952-035-2015;Sistema Iluminación/Electrical Exit Light;393322.0113N;0024401.9552E;0.008;95;0.001;WGE;3.65;0.013;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02992-004-2015;Sistema Iluminación/Electrical Exit Light;393326.0958N;0024359.5566E;0.008;95;0.001;WGE;3.231;0.024;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02108-003-2015;Obstáculo Móvil/Mobile Obstacle;393255.9302N;0024432.4628E;0.006;95;0.001;WGE;8.199;0.011;95;0.001;MSL;4.8;m;AENA S.A.;CONSULTOP;GPS;20151119;No;No;No;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-01556-001-2015;Señal/Sign;393242.5906N;0024414.8553E;0.005;95;0.001;WGE;8.06;0.009;95;0.001;MSL;1.08;m;AENA S.A.;CONSULTOP;GPS;20151119;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02976-005-2015;Sistema Iluminación/Electrical Exit Light;393318.8487N;0024409.3169E;0.004;95;0.001;WGE;3.784;0.015;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02952-025-2015;Sistema Iluminación/Electrical Exit Light;393312.3360N;0024341.4959E;0.013;95;0.001;WGE;3.981;0.015;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03011-013-2015;Sistema Iluminación/Electrical Exit Light;393229.0806N;0024352.3113E;0.008;95;0.001;WGE;8.331;0.009;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-01382-001-2015;Poste-Mástil/Pole;393237.6941N;0024422.6772E;0.2;95;0.001;WGE;18.201;0.2;95;0.001;MSL;10.895;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151124;Si/Yes;Si/Yes;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-01604-001-2015;Poste-Mástil/Pole;393316.7672N;0024528.4873E;0.2;95;0.001;WGE;7.108;0.2;95;0.001;MSL;5.558;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151123;Si/Yes;Si/Yes;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02973-019-2015;Sistema Iluminación/Electrical Exit Light;393303.7385N;0024420.0345E;0.013;95;0.001;WGE;7.555;0.035;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03014-008-2015;Sistema Iluminación/Electrical Exit Light;393230.8163N;0024353.9175E;0.007;95;0.001;WGE;8.047;0.014;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02809-001-2015;Árbol/Tree;393212.2245N;0024755.4581E;0.2;95;0.001;WGE;108.495;0.2;95;0.001;MSL;9.695;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151129;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-01223-001-2015;Vegetación/Vegetation;393302.6681N;0024424.4220E;0.5;95;0.001;WGE;12.375;0.5;95;0.001;MSL;3.944;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151204;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02073-001-2015;Sistema Eléctrico/Electrical System;393333.4656N;0024358.0607E;0.008;95;0.001;WGE;5.254;0.015;95;0.001;MSL;1.56;m;AENA S.A.;CONSULTOP;GPS;20151121;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-01358-002-2015;Sistema Iluminación/Electrical Exit Light;393246.8542N;0024442.1013E;0.008;95;0.001;WGE;9.17;0.019;95;0.001;MSL;3.017;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;Si/Yes;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02971-013-2015;Sistema Iluminación/Electrical Exit Light;393320.7663N;0024404.5515E;0.008;95;0.001;WGE;2.731;0.02;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-01652-004-2015;Tendido Eléctrico/Transmission Line;393551.0544N;0024455.3762E;0.2;95;0.001;WGE;98.38;0.2;95;0.001;MSL;22.184;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20131219;No;No;No;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03026-004-2015;Sistema Iluminación/Electrical Exit Light;393324.5833N;0024538.5069E;0.019;95;0.001;WGE;2.925;0.011;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02150-001-2015;Otros/Other;393242.2791N;0024254.7341E;0.01;95;0.001;WGE;5.576;0.021;95;0.001;MSL;1.65;m;AENA S.A.;CONSULTOP;GPS;20151122;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02829-001-2015;Árbol/Tree;393133.8467N;0024839.9380E;0.2;95;0.001;WGE;142.628;0.2;95;0.001;MSL;9.268;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151129;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
